country,begin_date,end_date,post_Soviet,vetting,coded,include
Albania,1944-11-17,2020-12-31,0,1,1,1
Armenia,1991-12-21,2020-12-31,1,0,0,1
Azerbaijan,1991-12-21,2020-12-31,1,0,0,1
Belarus,1991-08-25,2020-12-31,1,0,0,1
Bosnia & Herzegovina,1992-04-27,2020-12-31,0,1,1,1
Bulgaria,1878-03-03,2020-12-31,0,1,1,1
Croatia,1991-06-25,2020-12-31,0,0,0,1
Czech Republic,1993-01-01,2020-12-31,0,1,1,1
Czechoslovakia,1945-05-10,1992-12-31,0,1,1,1
Estonia,1991-09-06,2020-12-31,1,1,1,1
Georgia,1991-09-06,2020-12-31,1,1,1,1
German Democratic Republic (East),1949-10-05,1990-10-02,0,1,0,0
Hungary,1918-11-03,2020-12-31,0,1,1,1
Kazakhstan,1991-12-16,2020-12-31,1,0,0,1
Kosovo,2008-02-17,2020-12-31,0,1,1,1
Kyrgyzstan,1991-08-31,2020-12-31,1,0,0,1
Latvia,1991-09-06,2020-12-31,1,1,1,1
Lithuania,1991-09-06,2020-12-31,1,1,1,1
Macedonia,1991-11-20,2020-12-31,0,1,1,1
Moldova,1991-08-27,2020-12-31,1,0,0,1
Montenegro,2006-06-03,2020-12-31,0,0,0,1
Poland,1945-06-28,2020-12-31,0,1,1,1
Romania,1878-07-13,2020-12-31,0,1,1,1
Russian Federation,1991-12-12,2020-12-31,1,0,0,1
Serbia,2006-06-05,2020-12-31,0,1,1,1
Serbia & Montenegro,1992-04-27,2006-06-04,0,1,1,1
Slovakia,1993-01-01,2020-12-31,0,1,1,1
Slovenia,1992-04-27,2020-12-31,0,1,1,1
Tajikistan,1991-09-09,2020-12-31,1,0,0,1
Turkmenistan,1991-10-27,2020-12-31,1,0,0,1
Ukraine,1991-12-01,2020-12-31,1,1,1,1
Uzbekistan,1991-08-31,2020-12-31,1,0,0,1
Soviet Union,1922-12-30,1991-12-08,0,0,0,1
